epsilon,lenght,time
0.1,121,0.449
0.1,112,0.134
0.1,172,0.523
0.1,151,0.362
0.1,140,0.299
0.1,156,0.534
0.1,130,0.419
0.1,182,0.774
0.1,119,0.397
0.1,130,0.386
0.1,117,0.208
0.1,143,0.259
0.1,134,0.42
0.1,162,0.454
0.1,123,0.202
0.1,142,0.333
0.1,149,0.407
0.1,135,0.652
0.1,124,0.183
0.1,133,0.197
0.2,67,0.336
0.2,61,0.076
0.2,63,0.081
0.2,62,0.096
0.2,66,0.42
0.2,65,0.143
0.2,84,0.379
0.2,60,0.337
0.2,63,0.133
0.2,71,0.167
0.2,58,0.092
0.2,70,0.16
0.2,91,0.216
0.2,72,0.294
0.2,73,0.172
0.2,65,0.293
0.2,69,0.383
0.2,85,0.284
0.2,112,0.398
0.2,66,0.171
0.3,45,0.201
0.3,47,0.143
0.3,56,0.3
0.3,56,0.119
0.3,55,0.424
0.3,40,0.17
0.3,54,0.373
0.3,45,0.193
0.3,52,0.131
0.3,39,0.061
0.3,39,0.09
0.3,44,0.1
0.3,53,0.231
0.3,57,0.23
0.3,40,0.065
0.3,44,0.33
0.3,43,0.113
0.3,56,0.337
0.3,41,0.118
0.3,42,0.177
0.4,40,0.185
0.4,34,0.075
0.4,30,0.042
0.4,35,0.099
0.4,42,0.465
0.4,36,0.132
0.4,47,0.52
0.4,31,0.051
0.4,37,0.073
0.4,39,0.052
0.4,36,0.108
0.4,33,0.092
0.4,46,0.306
0.4,34,0.145
0.4,30,0.066
0.4,32,0.102
0.4,33,0.161
0.4,41,0.158
0.4,30,0.044
0.4,33,0.069
0.5,30,0.2
0.5,27,0.116
0.5,31,0.08
0.5,37,0.112
0.5,29,0.065
0.5,29,0.188
0.5,32,0.531
0.5,35,0.186
0.5,31,0.077
0.5,25,0.03
0.5,24,0.036
0.5,37,0.077
0.5,35,0.221
0.5,28,0.059
0.5,24,0.03
0.5,27,0.059
0.5,27,0.067
0.5,29,0.098
0.5,24,0.039
0.5,30,0.156
0.6,27,0.132
0.6,21,0.057
0.6,21,0.048
0.6,24,0.109
0.6,18,0.043
0.6,31,0.139
0.6,30,0.137
0.6,26,0.064
0.6,20,0.041
0.6,23,0.034
0.6,29,0.244
0.6,19,0.041
0.6,22,0.042
0.6,23,0.071
0.6,22,0.039
0.6,21,0.269
0.6,21,0.134
0.6,27,0.095
0.6,21,0.072
0.6,25,0.229
0.7,33,0.308
0.7,20,0.083
0.7,19,0.052
0.7,17,0.075
0.7,16,0.042
0.7,21,0.204
0.7,31,0.17
0.7,23,0.054
0.7,18,0.039
0.7,20,0.047
0.7,20,0.115
0.7,22,0.062
0.7,17,0.048
0.7,20,0.07
0.7,19,0.045
0.7,16,0.071
0.7,28,0.217
0.7,22,0.121
0.7,20,0.04
0.7,22,0.174
0.8,22,0.107
0.8,19,0.071
0.8,21,0.232
0.8,14,0.038
0.8,18,0.16
0.8,25,0.147
0.8,22,0.183
0.8,20,0.053
0.8,18,0.045
0.8,17,0.039
0.8,20,0.138
0.8,18,0.079
0.8,17,0.062
0.8,20,0.073
0.8,19,0.218
0.8,16,0.037
0.8,16,0.042
0.8,20,0.137
0.8,16,0.032
0.8,22,0.08
0.9,17,0.06
0.9,17,0.091
0.9,17,0.061
0.9,14,0.039
0.9,14,0.059
0.9,20,0.143
0.9,20,0.2
0.9,18,0.055
0.9,16,0.053
0.9,16,0.032
0.9,20,0.104
0.9,19,0.087
0.9,13,0.073
0.9,20,0.212
0.9,21,0.408
0.9,15,0.035
0.9,16,0.083
0.9,18,0.114
0.9,15,0.059
0.9,18,0.062
1,16,0.065
1,18,0.107
1,18,0.062
1,11,0.017
1,15,0.067
1,20,0.138
1,18,0.768
1,16,0.058
1,15,0.046
1,15,0.042
1,16,0.044
1,19,0.154
1,12,0.089
1,19,0.224
1,14,0.084
1,14,0.045
1,16,0.113
1,18,0.159
1,14,0.05
1,20,0.086
1.1,16,0.071
1.1,15,0.085
1.1,15,0.049
1.1,11,0.019
1.1,17,0.109
1.1,17,0.167
1.1,15,0.238
1.1,16,0.049
1.1,14,0.047
1.1,14,0.044
1.1,14,0.048
1.1,12,0.044
1.1,11,0.034
1.1,14,0.039
1.1,15,0.09
1.1,13,0.053
1.1,14,0.146
1.1,17,0.197
1.1,13,0.045
1.1,17,0.089
1.2,15,0.082
1.2,16,0.092
1.2,15,0.066
1.2,10,0.018
1.2,15,0.086
1.2,19,0.141
1.2,15,0.116
1.2,13,0.041
1.2,14,0.048
1.2,14,0.045
1.2,14,0.043
1.2,11,0.045
1.2,10,0.02
1.2,11,0.029
1.2,14,0.07
1.2,11,0.049
1.2,14,0.092
1.2,14,0.137
1.2,13,0.04
1.2,13,0.063
1.3,15,0.115
1.3,12,0.073
1.3,16,0.071
1.3,9,0.019
1.3,14,0.106
1.3,20,0.162
1.3,15,0.128
1.3,14,0.05
1.3,13,0.049
1.3,11,0.027
1.3,13,0.046
1.3,11,0.058
1.3,9,0.027
1.3,11,0.035
1.3,12,0.073
1.3,10,0.034
1.3,13,0.085
1.3,14,0.134
1.3,13,0.049
1.3,12,0.087
1.4,15,0.133
1.4,11,0.045
1.4,14,0.07
1.4,12,0.078
1.4,11,0.069
1.4,13,0.135
1.4,10,0.03
1.4,14,0.062
1.4,11,0.036
1.4,12,0.053
1.4,11,0.056
1.4,10,0.047
1.4,9,0.022
1.4,10,0.034
1.4,12,0.065
1.4,10,0.043
1.4,12,0.088
1.4,14,0.104
1.4,11,0.043
1.4,13,0.055
1.5,16,0.106
1.5,11,0.049
1.5,15,0.075
1.5,8,0.018
1.5,11,0.071
1.5,14,0.172
1.5,9,0.032
1.5,13,0.085
1.5,10,0.036
1.5,10,0.023
1.5,11,0.087
1.5,10,0.053
1.5,8,0.022
1.5,10,0.031
1.5,11,0.067
1.5,9,0.039
1.5,12,0.104
1.5,13,0.092
1.5,11,0.047
1.5,12,0.067
1.6,11,0.105
1.6,11,0.049
1.6,11,0.106
1.6,8,0.017
1.6,9,0.06
1.6,14,0.131
1.6,9,0.035
1.6,11,0.063
1.6,10,0.037
1.6,10,0.026
1.6,12,0.055
1.6,15,0.098
1.6,8,0.022
1.6,8,0.028
1.6,9,0.071
1.6,9,0.04
1.6,11,0.122
1.6,14,0.108
1.6,11,0.051
1.6,10,0.074
1.7,15,0.118
1.7,11,0.06
1.7,10,0.059
1.7,8,0.018
1.7,8,0.091
1.7,14,0.141
1.7,9,0.035
1.7,11,0.064
1.7,9,0.057
1.7,9,0.028
1.7,11,0.054
1.7,11,0.062
1.7,7,0.021
1.7,8,0.028
1.7,9,0.067
1.7,9,0.037
1.7,11,0.103
1.7,14,0.097
1.7,12,0.059
1.7,9,0.098
1.8,12,0.112
1.8,10,0.056
1.8,10,0.063
1.8,7,0.019
1.8,8,0.071
1.8,13,0.133
1.8,9,0.034
1.8,12,0.078
1.8,9,0.045
1.8,9,0.031
1.8,11,0.048
1.8,9,0.057
1.8,7,0.024
1.8,8,0.04
1.8,8,0.074
1.8,9,0.04
1.8,11,0.109
1.8,14,0.129
1.8,12,0.056
1.8,13,0.074
1.9,12,0.152
1.9,8,0.049
1.9,11,0.078
1.9,7,0.018
1.9,8,0.057
1.9,12,0.162
1.9,8,0.034
1.9,12,0.077
1.9,8,0.049
1.9,12,0.097
1.9,12,0.13
1.9,9,0.059
1.9,7,0.024
1.9,7,0.029
1.9,8,0.071
1.9,8,0.039
1.9,11,0.107
1.9,13,0.124
1.9,10,0.055
1.9,9,0.084
2,13,0.111
2,9,0.084
2,10,0.071
2,7,0.019
2,8,0.059
2,9,0.104
2,8,0.034
2,10,0.087
2,8,0.047
2,10,0.044
2,9,0.118
2,7,0.058
2,7,0.028
2,7,0.033
2,8,0.086
2,8,0.05
2,9,0.129
2,12,0.1
2,11,0.07
2,9,0.086
